School.Institute.Center,Department.Group,Category,Pattern
Herman Ostrow School of Dentistry of USC,"Geriatrics, Special Needs and Behavioral Sciences",Academic,Department of Geriatrics Special Needs and Behavioral Sciences
Herman Ostrow School of Dentistry of USC,Operative Dentistry,Academic,Department of Operative Dentistry
Herman Ostrow School of Dentistry of USC,Oral and Maxillofacial Surgery,Academic and Administrative,Oral and Maxillofacial Surgery
Herman Ostrow School of Dentistry of USC,Orofacial Pain and Oral Medicine,Academic,Orofacial Pain and Oral Medicine
Herman Ostrow School of Dentistry of USC,Pediatric Dentistry and Orthodontics Department,Academic,Pediatric Dentistry and Orthodontics Department
Herman Ostrow School of Dentistry of USC,"Periodontology, Diagnostic Sciences and Dental Hygiene",Academic,"Periodontology, Diagnostic Sciences and Dental Hygiene"
Herman Ostrow School of Dentistry of USC,Prosthodontics,Academic,Prosthodontics
Herman Ostrow School of Dentistry of USC,Section of Infection and Immunity,Academic,Section of Infection and Immunity
"Human Resources, Equity and Compliance",WorkWell Center,Academic and Administrative,Center for Work & Family Life
Institute on Inequalities in Global Health,Institute on Inequalities in Global Health,Academic,Institute on Inequalities in Global Health
Keck Medicine of USC,Adolescent Trauma Training Center,Academic,Adolescent Trauma Training Center
Keck Medicine of USC,Alzheimer Disease Research Center,Academic,Alzheimer['’]?s? Disease Research Center
Keck Medicine of USC,Alzheimer's Therapeutic Research Institute,Academic,Alzheimer['’]?s? Therapeutic Research Institute
Keck Medicine of USC,Anesthesiology,Academic,Anesthesiology
Keck Medicine of USC,Biochemistry and Molecular Medicine,Academic,Biochemistry (&|and) Molecular Medicine
Keck Medicine of USC,Biomedical Sciences,Academic,Biomedical Sciences
Keck Medicine of USC,Center for Genetic Epidemiology,Academic,Center for Genetic Epidemiology
Keck Medicine of USC,Center for Health Equity in the Americas,Academic,Center for Health Equity in the Americas
Keck Medicine of USC,Center for Integrative Connectomics,Academic,Center for Integrative Connectomics
Keck Medicine of USC,Children's Hospital Los Angeles,Academic and Administrative,Children['’]s Hospital (of )?Los Angeles|Children['’]s Hospital|CHLA|Laboratory of Applied Pharmacokinetics|Institute for Nursing and Interprofessional Research|University Center of Excellence in Developmental Disabilities|Saban Research Institute
Keck Medicine of USC,Dermatology,Academic,Dermatology
Keck Medicine of USC,Diabetes and Obesity Research Institute,Academic,Diabetes (&|and) Obesity Research Institute
Keck Medicine of USC,Emergency Medicine,Academic,Department of Emergency Medicine|Navy Trauma Training Center
Keck Medicine of USC,Family Medicine,Academic,Family Medicine|Physician Assistant
Keck Medicine of USC,Gehr Family Center for Health Systems Science,Academic and Administrative,Gehr (Family )?Center for Health Systems (Innovation|Science)
Keck Medicine of USC,Hastings Center for Pulmonary Research,Academic,Hastings Center for Pulmonary Research
Keck Medicine of USC,Imaging Genetics Center,Academic,Imaging Genetics Center
Keck Medicine of USC,Institute for Addiction Science (IAS),Academic,Institute for Addiction Science
Keck Medicine of USC,Institute for Technology and Medical Systems Innovation,Academic,Institute for Technology and Medical Systems Innovation
Keck Medicine of USC,Institute of Prevention Research,Academic,(Institute for Prevention Research|Institute for Health Promotion (&|and) Disease Prevention)
Keck Medicine of USC,Integrative Anatomical Sciences,Academic,Integrative Anatomical Sciences
Keck Medicine of USC,Keck Hospital of USC,Academic and Administrative,Keck Hospital of USC
Keck Medicine of USC,Keck Medicine of USC - Cedars-Sinai Medical Center,Academic,Cedars-Sinai
Keck Medicine of USC,LAC+USC Medical Center,Administrative,(Los Angeles County Hospital|Los Angeles County \\+ University of Southern California Medical Center|LAC\\+USC Hospital|LAC\+USC Medical Center|Los Angeles County \\+ University of Southern California \(LAC ?\\+ ?USC\) Medical Center|Los Angeles County University of Southern California Medical Center|Hansen's Disease Clinic|Pediatrics LAC)
Keck Medicine of USC,Medical Education,Academic,Medical Education
Keck Medicine of USC,Medicine,Academic,(Department of Medicine|(Department|Division) of Cardiovascular Medicine|Division of Endocrinology and Diabetes|Division of Gastrointestinal and Liver Diseases?|Division of Geriatric Hospital Palliative and General Internal Medicine|Division of GHPGIM|(Department|Division) of Hematology|Division of Infectious Disease|(Department|Division) of Nephrology|Division of Rheumatology|(Department|Division) of Pulmonary Critical Care and Sleep Medicine|(Department|Division) of Pulmonary and Critical (Care|Medicine)|(Department|Division) of Oncology)
Keck Medicine of USC,Molecular Microbiology and Immunology,Academic,Molecular Microbiology (&|and) Immunology
Keck Medicine of USC,Neurological Surgery,Academic,Departments? of Neurological Surgery
Keck Medicine of USC,Neurology,Academic,(Department|Division) of Neurology
Keck Medicine of USC,Neurorestoration Center,Academic and Administrative,Neurorestoration Center
Keck Medicine of USC,Norris Comprehensive Cancer Center,Academic,Molecular Genomics Core|Center for Young Adult Cancer Survivorship|Norris (Jr\\. )?(Comprehensive )?Cancer Center|Norris Center for Cancer Drug Development
Keck Medicine of USC,Obstetrics and Gynecology,Academic,(Obstetrics (&|and) Gynecology|Gynecologic Oncology|Female Pelvic Medicine and Reconstructive Surgery)
Keck Medicine of USC,Ophthalmology,Academic,Roski Eye Institute|Department of Ophthalmology
Keck Medicine of USC,Orthopaedic Surgery,Academic,Department of Orthopa?edic Surgery
Keck Medicine of USC,Otolaryngology,Academic,Department of Otolaryngology
Keck Medicine of USC,Pathology,Academic,Department of Pathology
Keck Medicine of USC,Pediatrics,['Academic' 'Academic and Administrative'],Department of Pediatrics
Keck Medicine of USC,Physiology and Neuroscience,Academic,(Department of Physiology and Neuroscience|Master of Medical Physiology|Department of Physiology and Biophysics|Department of Clinical Physiology|Department of Clinical Physiology and Neuroscience)
Keck Medicine of USC,Population Public Health Sciences,Academic,Population Public Health Sciences
Keck Medicine of USC,Population and Public Health Sciences,Academic,(Department of Preven(ta)?tive Medicine|Population and Public Health Sciences|Division of Disease Prevention Policy and Global Health|(Department|Division) of Biostatistics|Master of Public Health Program|Los Angeles Cancer Surveillance Program)
Keck Medicine of USC,Psychiatry and Behavioral Sciences,Academic,Department of Psychiatry (&|and) (the )?Behavioral Sciences|Department of Forensic Psychiatry|Department of Psychiatry|Psychiatry Department|Institute of Psychiatry Law (and )?Behavioral Science
Keck Medicine of USC,Radiation Oncology,Academic,Radiation Oncology
Keck Medicine of USC,Radiology,Academic,(Department of Radiology|Department of Neuroradiology|Division of Vascular and Interventional Radiology|Radiomics Lab|4D Quantitative Imaging Lab)
Keck Medicine of USC,Research Center for ALPD and Cirrhosis,Academic,Research Center for ALPD and Cirrhosis
Keck Medicine of USC,Research Center for Liver Diseases,Academic,Research Center for Liver Disease
Keck Medicine of USC,Southern California Clinical and Translational Science Institute (SC CTSI),Academic,Southern California Clinical and Translational (Science )?Institute
Keck Medicine of USC,Southern California Evidence Review Center,Academic,Southern California Evidence Review Center
Keck Medicine of USC,Stem Cell Biology and Regenerative Medicine,Academic,Stem Cell (Biology )?and Regenerative Medicine
Keck Medicine of USC,Student Health,Administrative,Student Health
Keck Medicine of USC,Surgery,Academic,(Departments? of Surgery|Division of Cardiac Surgery|Division of Colorectal Surgery|Plastic and Reconstructive Surgery|Division of Thoracic Surgery|Division of Upper GI and General Surgery|Division of Vascular Surgery|Division of Trauma and (Surgical )?Critical Care)
Keck Medicine of USC,Translational Genomics,Academic,Department of Translational Genomics
Keck Medicine of USC,USC Verdugo Hills Hospital,Administrative,USC Verdugo Hills Hospital
Keck Medicine of USC,USC/UKRO Kidney Research Center,Academic,UKRO Kidney Research Center
Keck Medicine of USC,Urology,Academic,of Urology
Keck Medicine of USC,Zilkha Neurogenetic Institute (ZNI),Academic,Zh?ilkh?a Neurogenetic Institute
Leonard Davis School of Gerontology,Alzheimer Disease Research Center,Academic,Alzheimer['’]?s? Disease Research Center
Leonard Davis School of Gerontology,Family Caregiver Support Center,Academic,Family Caregiver Support Center
Leonard Davis School of Gerontology,Longevity Institute,Academic,Longevity Institute
Leonard Davis School of Gerontology,USC-Buck Nathan Shock Center of Excellence in the Biology of Aging,Academic,Buck Institute for Research on Aging
Libraries,Bioinformatics Services,Academic and Administrative,Bioinformatics? Services?|Norris Medical Bioinformatics
