Department,Division,Change,Change to,Reason or comment
Visual Studies,Dornsife College of Letters Arts and Sciences,FALSE,,
Public Exchange,Dornsife College of Letters Arts and Sciences,FALSE,,
Latin American and Iberian Cultures,Dornsife College of Letters Arts and Sciences,FALSE,,
Joint Educational Project,Dornsife College of Letters Arts and Sciences,FALSE,,
Comparative Studies in Literature and Culture,Dornsife College of Letters Arts and Sciences,FALSE,,
Society of Fellows in the Humanities,Dornsife College of Letters Arts and Sciences,FALSE,,
Science and Technology Studies,Dornsife College of Letters Arts and Sciences,FALSE,,
Division of Biokinesiology and Physical Therapy,Herman Ostrow School of Dentistry of USC,FALSE,,
Biomedical Sciences,Herman Ostrow School of Dentistry of USC,FALSE,,
Orofacial Pain and Oral Medicine,Herman Ostrow School of Dentistry of USC,FALSE,,
Chan Division of Occupational Science and Occupational Therapy,Herman Ostrow School of Dentistry of USC,FALSE,,
Section of Infection and Immunity,Herman Ostrow School of Dentistry of USC,FALSE,,
Oral and Maxillofacial Surgery,Herman Ostrow School of Dentistry of USC,FALSE,,
Other,Herman Ostrow School of Dentistry of USC,FALSE,,
Restorative Sciences,Herman Ostrow School of Dentistry of USC,FALSE,,
Geriatric Dentristry,Herman Ostrow School of Dentistry of USC,FALSE,,
Medical Education,Keck Medicine of USC,FALSE,,added in
Medicine,Keck Medicine of USC,FALSE,,
Population and Public Health Sciences,Keck Medicine of USC,FALSE,,
Neurological Surgery,Keck Medicine of USC,FALSE,,
Orthopaedic Surgery,Keck Medicine of USC,FALSE,,
Pediatrics,Keck Medicine of USC,FALSE,,
Radiology,Keck Medicine of USC,FALSE,,
Integrative Anatomical Sciences,Keck Medicine of USC,FALSE,,
Biochemistry and Molecular Medicine,Keck Medicine of USC,FALSE,,
Molecular Microbiology and Immunology,Keck Medicine of USC,FALSE,,
Pathology,Keck Medicine of USC,FALSE,,
Surgery,Keck Medicine of USC,FALSE,,
Physiology and Neuroscience,Keck Medicine of USC,FALSE,,
Urology,Keck Medicine of USC,FALSE,,
Other,Keck Medicine of USC,FALSE,,
Ophthalmology,Keck Medicine of USC,FALSE,,
Obstetrics and Gynecology,Keck Medicine of USC,FALSE,,
Children's Hospital Los Angeles,Keck Medicine of USC,FALSE,,
Anesthesiology,Keck Medicine of USC,FALSE,,
Psychiatry and Behavioral Sciences,Keck Medicine of USC,FALSE,,
Radiation Oncology,Keck Medicine of USC,FALSE,,
Stem Cell Biology and Regenerative Medicine,Keck Medicine of USC,FALSE,,
Neurology,Keck Medicine of USC,FALSE,,
Otolaryngology,Keck Medicine of USC,FALSE,,
Emergency Medicine,Keck Medicine of USC,FALSE,,
Family Medicine,Keck Medicine of USC,FALSE,,
Dermatology,Keck Medicine of USC,FALSE,,
Translational Genomics,Keck Medicine of USC,FALSE,,
Keck Hospital of USC,Keck Medicine of USC,FALSE,,
Medical Education,Keck Medicine of USC,FALSE,,
Medicine/Business Administration,Keck Medicine of USC,FALSE,,
Programs in Biomedical and Biological Sciences,Keck Medicine of USC,FALSE,,
USC Verdugo Hills Hospital,Keck Medicine of USC,FALSE,,
Neurosurgery,Keck Medicine of USC,FALSE,,
Other,Leonard Davis School of Gerontology,FALSE,,
Gerontology,Leonard Davis School of Gerontology,FALSE,,
Biology of Aging,Leonard Davis School of Gerontology,FALSE,,
"Nutrition, Healthspan and Longevity",Leonard Davis School of Gerontology,FALSE,,
Agign Services Management,Leonard Davis School of Gerontology,FALSE,,
Leventhal School of Accounting,Leventhal School of Accounting,FALSE,,
Bioinformatics Services,Libraries,FALSE,,
Norris Medical Library,Libraries,FALSE,,
Wilson Dental Library,Libraries,FALSE,,
Library for International and Public Affairs,Libraries,FALSE,,
Seaver Science Library,Libraries,FALSE,,
Leavey Library,Libraries,FALSE,,
Hoose Library of Philosophy,Libraries,FALSE,,
Sidney Harman Academy for Polymathic Study,Libraries,FALSE,,
Other,Marshall School of Business,FALSE,,
Data Sciences and Operations,Marshall School of Business,FALSE,,
Marketing,Marshall School of Business,FALSE,,
Management and Organization,Marshall School of Business,FALSE,,
Business Communication,Marshall School of Business,FALSE,,
Finance and Business Economics,Marshall School of Business,FALSE,,
Inclusion and Diversity Operations,Office of Professionalism and Ethics,FALSE,,
Office of Institutional Research,Office of the Provost,FALSE,,
Other,Other,FALSE,,
Shoah Foundation,Other,FALSE,,
Health Policy and Management,Price School of Public Policy,FALSE,,
Other,Price School of Public Policy,FALSE,,
Urban Planning and Spatial Analysis,Price School of Public Policy,FALSE,,
Wilbur H. Smith III Department of Real Estate Development,Price School of Public Policy,FALSE,,
Public Policy and Management,Price School of Public Policy,FALSE,,
Other,School of Cinematic Arts,FALSE,,
Media Arts + Practice Division,School of Cinematic Arts,FALSE,,
Film and Television Production,School of Cinematic Arts,FALSE,,
Interactive Media and Games Division,School of Cinematic Arts,FALSE,,
Cinema and Media Studies,School of Cinematic Arts,FALSE,,
Other,Suzanne Dworak-Peck School of Social Work,FALSE,,
Social Work,Suzanne Dworak-Peck School of Social Work,FALSE,,
"Children, Youth and Families",Suzanne Dworak-Peck School of Social Work,FALSE,,
Adult Mental Health and Wellness,Suzanne Dworak-Peck School of Social Work,FALSE,,
Children's Data Network,Suzanne Dworak-Peck School of Social Work,FALSE,,
Nursing,Suzanne Dworak-Peck School of Social Work,FALSE,,
Other,Thornton School of Music,FALSE,,
Neighborhood Academic Initiative,University Relations,FALSE,,
Office of Research and Innovation,USC Office of Research and Innovation,FALSE,,
Computer Science,Viterbi School of Engineering,FALSE,,
Chemical Engineering and Materials Science,Viterbi School of Engineering,FALSE,,
Electrical and Computer Engineering,Viterbi School of Engineering,FALSE,,
Collaboratory for Advanced Computing and Simulations,Viterbi School of Engineering,FALSE,,this is a center not a dept. 
Aerospace and Mechanical Engineering,Viterbi School of Engineering,FALSE,,
Biomedical Engineering,Viterbi School of Engineering,FALSE,,
Other,Viterbi School of Engineering,FALSE,,
Civil and Environmental Engineering,Viterbi School of Engineering,FALSE,,
Industrial and Systems Engineering,Viterbi School of Engineering,FALSE,,
Astronautical Engineering,Viterbi School of Engineering,FALSE,,
Information Technology Program,Viterbi School of Engineering,FALSE,,
Engineering in Society Program,Viterbi School of Engineering,FALSE,,
Technology Innovation and Entrepreneurship,Viterbi School of Engineering,FALSE,,
