Div,Dept,Sustainability-Inclusive Author Count,SDG-Related Author Count,Not-Related Author Count,Sustainability-Focused Author Count,Division Name Correction,Department Name Correction,Dept Classification,True Department? Only right dept (wrong name not included),Notes,Need Help,Notes
Dornsife College of Letters Arts and Sciences,Biological Sciences,231,455,341,100,,,Academic,yes,,,
Elaine and Kenneth Leventhal School of Accounting,Business Taxation - Working Professionals,0,1,1,NA,Marshall School of Business,Leventhal School of Accounting,Academic,no,,,
Ellison Institute for Transformative Medicine,Ellison Institute for Transformative Medicine,20,54,6,0,,,Academic,no,http://eitm.org/,,
Gould School of Law,Law Immigration Clinic,1,0,0,0,,,Academic,no,https://uscimmigrationclinic.org/,,
Gould School of Law,Pacific Center for Health Policy and Ethics,1,1,1,0,,,Academic,no,https://departmentsdirectory.usc.edu/pacific-center-for-health-policy-and-ethics/,,
Gould School of Law,"Saks Institute for Mental Health Law, Policy, and Ethics",1,1,0,0,,,Academic,no,https://gould.usc.edu/faculty/centers/saks/,,
Gould School of Law,Law,26,34,33,3,,Other,Academic,no,,,
Herman Ostrow School of Dentistry of USC,Biomedical Implants and Tissue Engineering,0,1,0,0,,Other,Academic,no,https://dentistry.usc.edu/admission/biomedical-implants-and-tissue-engineering-ms/,,
Herman Ostrow School of Dentistry of USC,Biomedical Sciences,21,27,25,0,Keck Medicine of USC,,Academic,no,https://keck.usc.edu/pibbs/,,
Herman Ostrow School of Dentistry of USC,Center for Craniofacial Molecular Biology,15,77,51,0,,,Academic,no,https://ccmb.usc.edu/,,
Herman Ostrow School of Dentistry of USC,Comprehensive Care,0,1,0,0,,,Academic,yes,,,
Herman Ostrow School of Dentistry of USC,Dental Clinic,7,1,0,0,,Other,Academic and Administrative,no,https://dentistry.usc.edu/patient-care/dental-care-services/,,
Herman Ostrow School of Dentistry of USC,Dental Surgery,0,1,0,0,,Other,Academic and Administrative,no,https://dentistry.usc.edu/admission/doctor-of-dental-surgery-dds/,,
Herman Ostrow School of Dentistry of USC,Endodontics,1,5,3,0,,Endodontics and Periodontics Department,Academic,no,,,
Herman Ostrow School of Dentistry of USC,Endodontics and Orthodontics,0,5,4,0,,Endodontics and Periodontics Department,Academic,no,,,
Herman Ostrow School of Dentistry of USC,Geriatric Dentristry,3,0,0,0,,"Geriatrics, Special Needs and Behavioral Sciences",Academic,no,,,
Herman Ostrow School of Dentistry of USC,"Geriatrics, Special Needs and Behavioral Sciences",3,2,1,0,,,Academic,yes,,,
Herman Ostrow School of Dentistry of USC,Operative Dentistry,0,3,2,0,,,Academic,yes,,,
Herman Ostrow School of Dentistry of USC,Oral and Maxillofacial Surgery,13,15,8,0,,,Academic and Administrative,no,https://dentistry.usc.edu/oral-maxillofacial-surgery-faculty-residents/,,
Herman Ostrow School of Dentistry of USC,Orofacial Pain and Oral Medicine,0,6,1,0,,,Academic,no,https://ofpomcenter.usc.edu/,,
Herman Ostrow School of Dentistry of USC,Orthodontics,1,8,4,0,,Pediatric Dentistry and Orthodontics Department,Academic,no,,,
Herman Ostrow School of Dentistry of USC,Other,13,30,2,0,,,Academic and Administrative,no,https://dentistry.usc.edu/faculty-department/comprehensive-care/,,
Herman Ostrow School of Dentistry of USC,Pediatric Dentistry,5,3,1,0,,Pediatric Dentistry and Orthodontics Department,Academic,no,,,
Herman Ostrow School of Dentistry of USC,Post Graduate Education Certificate Programs,0,3,0,0,,Other,Academic,no,,,
Herman Ostrow School of Dentistry of USC,Prosthodontics,0,1,0,0,,,Academic,yes,,,
Herman Ostrow School of Dentistry of USC,Restorative Sciences,2,16,7,0,,Other,Academic,no,https://departmentsdirectory.usc.edu/division-of-restorative-sciences/,,
Herman Ostrow School of Dentistry of USC,Section of Infection and Immunity,2,23,2,0,,,Academic,no,https://iai.usc.edu/about-us/,,
Herman Ostrow School of Dentistry of USC,Transportation Systems Management,0,1,0,0,Viterbi School of Engineering,Civil and Environmental Engineering,Academic,no,https://cee.usc.edu/academics/masters-degree/ms-transportation-systems-management/,,
Herman Ostrow School of Dentistry of USC,Urban Studies and Planning,0,1,0,0,Price School of Public Policy,Urban Planning and Spatial Analysis,Academic,no,,,
Herman Ostrow School of Dentistry of USC,Periodontology and Diagnostic Sciences,3,6,4,1,,"Periodontology, Diagnostic Sciences and Dental Hygiene",Academic,no,https://departmentsdirectory.usc.edu/division-of-periodontology-diagnostic-sciences-and-dental-hygiene/,,
Herman Ostrow School of Dentistry of USC,"Periodontology, Diagnostic Sciences and Dental Hygiene",2,9,1,1,,,Academic,no,https://dentistry.usc.edu/research/faculty-2/,,
